40,P,Andrew Walters,R,Columbus,Rehab Assignment,Yes
9,OF,Kahlil Watson,L,Columbus,Active,Yes
44,P,Ryan Webb,L,Columbus,Active,No
17,INF,Nicandro Aybar,S,Durham,Demoted,No
17,P,Hunter Bigge,R,Durham,Promoted,Yes
30,P,Cam Booser,L,Durham,Active,Yes
9,INF,Cooper Bowman,R,Durham,Injured List,No
39,P,Joe Boyle,R,Durham,Rehab Assignment,Yes
6,C,Bryan Broecker,R,Durham,Active,No
37,P,Aaron Brooks,R,Durham,Promoted,Yes
35,OF,Homer Bush Jr.,R,Durham,Active,No
35,P,Chris Clark,R,Durham,Demoted,No
39,P,Garrett Cleavinger,L,Durham,Promoted,Yes
3,INF,Carlos Colmenarez,L,Durham,Active,No
21,P,Alex Cook,R,Durham,Injured List,Yes
60,P,Jonny Cuevas,R,Durham,Demoted,No
39,P,Ty Cummings,R,Durham,Demoted,No
27,INF,Logan Davidson,S,Durham,Active,No
2,INF,Raynel Delgado,L,Durham,Active,No
,C,Logan Driscoll,L,Durham,Injured List,No
65,P,Mason Englert,R,Durham,Active,Yes
65,P,Garrett Gainey,L,Durham,Demoted,No
13,P,Luis Guerrero,R,Durham,Active,No
34,P,Jonathan Heasley,R,Durham,Active,No
5,P,Cam Hill,R,Durham,Active,No
11,P,Brody Hopkins,R,Durham,Active,No
33,P,K.C. Hunt,R,Durham,Active,No
,P,Marcus Johnson,R,Durham,Injured List,No
40,P,Ty Johnson,R,Durham,Active,No
44,OF,Brock Jones,L,Durham,Active,No
16,C,Dom Keegan,R,Durham,Active,Yes
4,INF,Cooper Kinney,L,Durham,Active,No
36,C,Tatem Levins,L,Durham,Active,No
15,P,Andrew Lindsey,R,Durham,Demoted,No
7,OF,Gavin Lux,L,Durham,Promoted,Yes
45,OF,Justyn-Henry Malloy,R,Durham,Active,No
54,P,Trevor Martin,R,Durham,Promoted,Yes
4,OF,Jacob Melton,L,Durham,Injured List,Yes
23,OF,Victor Mesa Jr.,L,Durham,Injured List,Yes
22,INF,Tre' Morgan,L,Durham,Injured List,No
44,OF,Edward Olivares,R,Durham,Free Agent,No
